Specimen No;genus;species;coloniality;growth form ;corallite integration;mean corallite diameter [mm];colony height [mm];colony width [mm];number of incisions;length of incisions [mm] top;length of incisions [mm] bottom;width of incisons [mm] top ;width of incisions [mm] bottom;distance to next incision [mm];incisions on top ;incisions on bottom;bioerosion;
KCo4-27;Dimorpharaea;stellans;;pedunculate;thamnasteroid;2.12;10.86;22.79;2;1.34;3.83;2.04;2.04;10.03;1;1;;
KCo4-27;Dimorpharaea;stellans;;pedunculate;thamnasteroid;2.12;10.86;22.79;2;5.44;6.3;1.66;1.66;12.59;1;1;;
KCo4-27;Dimorpharaea;stellans;;pedunculate;thamnasteroid;2.12;10.86;22.79;2;0.68;1.05;0.98;0.98;8.44;1;1;;
KCo4-27;Dimorpharaea;stellans;;pedunculate;thamnasteroid;2.12;10.86;22.79;2;1.31;2.18;2.24;2.12;9.92;1;1;;
KCo4-27;Dimorpharaea;stellans;;pedunculate;thamnasteroid;2.12;10.86;22.79;2;6.87;7.94;3.22;2.86;5.8;1;1;;
KCo4-27;Dimorpharaea;stellans;;pedunculate;thamnasteroid;2.12;10.86;22.79;2;0.58;1.21;0.78;1.2;5.29;1;1;;
KCo4-27;Dimorpharaea;stellans;;pedunculate;thamnasteroid;2.12;10.86;22.79;2;1.12;1.2;1.83;1.83;9.95;1;1;;
KCo4-28;Gregorycoenia ;magna;colony;conical;cerioid;7.83;18.6;30.69;0;;;;;;;;;
KCo5-1;Dimorpharaea;stellans;colony;umbrella-shaped;thamnasteroid;4.2;25.12;64.48;21;;;;;;6;15;;serpulids
KCo5-1;Dimorpharaea;stellans;;umbrella-shaped;thamnasteroid;4.2;25.12;64.48;2;5.3;22.5;0.88;1.63;2.56;1;1;;
KCo5-1;Dimorpharaea;stellans;;umbrella-shaped;thamnasteroid;4.2;25.12;64.48;2;8.16;25.05;1.17;1.74;9.5;1;1;;
